nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0276919
nm0000032	Charlton Heston	1923	2008	actor,director,writer	tt0310793
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt0208092,tt0361748,tt2024544,tt4973112
nm0000102	Kevin Bacon	1958	\N	actor,producer,soundtrack	tt0327056
nm0000108	Luc Besson	1959	\N	writer,producer,director	tt1014762
nm0000114	Steve Buscemi	1957	\N	actor,director,producer	tt0198781
nm0000116	James Cameron	1954	\N	writer,producer,director	tt2004304
nm0000120	Jim Carrey	1962	\N	actor,writer,producer	tt0338013
nm0000124	Jennifer Connelly	1970	\N	actress	tt0180093,tt0268978,tt0450259
nm0000128	Russell Crowe	1964	\N	actor,soundtrack,producer	tt0172495,tt0268978,tt0352248
nm0000129	Tom Cruise	1962	\N	actor,producer,soundtrack	tt4912910
nm0000136	Johnny Depp	1963	\N	actor,producer,soundtrack	tt0325980
nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,writer	tt0264464,tt0407887,tt0450259,tt0993846,tt1130884,tt1375666,tt1663202,tt1853728,tt5929776
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt0327056,tt0405159,tt1205489
nm0000146	Ralph Fiennes	1962	\N	actor,director,soundtrack	tt2278388
nm0000147	Colin Firth	1960	\N	actor,producer,soundtrack	tt1504320
nm0000148	Harrison Ford	1942	\N	actor,writer,producer	tt1856101
nm0000151	Morgan Freeman	1937	\N	actor,producer,soundtrack	tt0405159
nm0000152	Richard Gere	1949	\N	actor,soundtrack,producer	tt1028532
nm0000154	Mel Gibson	1956	\N	actor,producer,director	tt2119532
nm0000158	Tom Hanks	1956	\N	producer,actor,soundtrack	tt0264464,tt0435761
nm0000160	Ethan Hawke	1970	\N	actor,writer,director	tt0381681
nm0000165	Ron Howard	1954	\N	actor,producer,director	tt0268978,tt0352248,tt1979320
nm0000168	Samuel L. Jackson	1948	\N	actor,producer,soundtrack	tt0317705,tt0413615
nm0000169	Tommy Lee Jones	1946	\N	actor,director,soundtrack	tt0477348
nm0000173	Nicole Kidman	1967	\N	actress,producer,soundtrack	tt0276919,tt3741834
nm0000186	David Lynch	1946	\N	writer,director,producer	tt0166924
nm0000190	Matthew McConaughey	1969	\N	actor,producer,soundtrack	tt0790636,tt0816692,tt0993846
nm0000191	Ewan McGregor	1971	\N	actor,writer,soundtrack	tt0319061
nm0000196	Mike Myers	1963	\N	actor,writer,soundtrack	tt1727824
nm0000197	Jack Nicholson	1937	\N	actor,soundtrack,producer	tt0407887
nm0000198	Gary Oldman	1958	\N	actor,soundtrack,producer	tt1345836
nm0000204	Natalie Portman	1981	\N	actress,producer,soundtrack	tt0434409,tt0947798
nm0000206	Keanu Reeves	1964	\N	actor,producer,soundtrack	tt0133093
nm0000209	Tim Robbins	1958	\N	actor,producer,director	tt0327056
nm0000210	Julia Roberts	1967	\N	actress,producer,soundtrack	tt2543472
nm0000213	Winona Ryder	1971	\N	actress,producer,soundtrack	tt0947798
nm0000217	Martin Scorsese	1942	\N	producer,director,actor	tt0407887,tt0993846,tt1113829,tt1130884
nm0000226	Will Smith	1968	\N	music_department,actor,producer	tt0454921
nm0000229	Steven Spielberg	1946	\N	producer,writer,director	tt0264464
nm0000233	Quentin Tarantino	1963	\N	writer,actor,producer	tt0266697,tt0361748,tt0378194,tt0401792,tt1853728,tt6019206
nm0000234	Charlize Theron	1975	\N	actress,producer,soundtrack	tt1392190
nm0000235	Uma Thurman	1970	\N	actress,soundtrack,writer	tt0266697,tt0378194
nm0000242	Mark Wahlberg	1971	\N	producer,actor,soundtrack	tt0407887
nm0000246	Bruce Willis	1955	\N	actor,soundtrack,producer	tt0401792
nm0000250	Renée Zellweger	1969	\N	actress,soundtrack,producer	tt0352248
nm0000255	Ben Affleck	1972	\N	producer,actor,writer	tt2267998
nm0000260	Joan Allen	1956	\N	actress,producer	tt0440963,tt1028532
nm0000264	Pedro Almodóvar	1949	\N	writer,director,soundtrack	tt0287467,tt3011894
nm0000288	Christian Bale	1974	\N	actor,editorial_department,producer	tt0372784,tt0468569,tt0482571,tt1345836
nm0000293	Sean Bean	1959	\N	actor,producer	tt0120737
nm0000307	Helena Bonham Carter	1966	\N	actress,soundtrack,producer	tt1504320,tt3455822
nm0000318	Tim Burton	1958	\N	producer,miscellaneous,director	tt0319061
nm0000323	Michael Caine	1933	\N	actor,producer,soundtrack	tt0372784,tt0468569,tt0482571
nm0000332	Don Cheadle	1964	\N	actor,producer,soundtrack	tt0395169
nm0000335	Glenn Close	1947	\N	actress,soundtrack,producer	tt1014762
nm0000345	Billy Crystal	1948	\N	actor,writer,producer	tt0198781
nm0000349	Joan Cusack	1962	\N	actress,soundtrack,writer	tt0435761
nm0000353	Willem Dafoe	1955	\N	actor,soundtrack,producer	tt0266543
nm0000354	Matt Damon	1970	\N	producer,actor,soundtrack	tt0407887,tt0440963,tt1645089,tt3659388
nm0000358	Daniel Day-Lewis	1957	\N	actor,music_department,soundtrack	tt0469494
nm0000365	Julie Delpy	1969	\N	actress,writer,director	tt0381681
nm0000366	Catherine Deneuve	1943	\N	actress,soundtrack,producer	tt0168629,tt0808417
nm0000375	Robert Downey Jr.	1965	\N	actor,producer,soundtrack	tt0848228,tt4154756
nm0000385	Sam Elliott	1944	\N	actor,producer,writer	tt1517451
nm0000399	David Fincher	1962	\N	producer,director,actor	tt2267998
nm0000401	Laurence Fishburne	1961	\N	actor,producer,director	tt0133093,tt0493393
