nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000407	Vivica A. Fox	1964	\N	actress,producer,soundtrack	tt6019206
nm0000422	John Goodman	1952	\N	actor,soundtrack,producer	tt0198781
nm0000435	Daryl Hannah	1960	\N	actress,producer,soundtrack	tt0266697,tt0378194
nm0000437	Woody Harrelson	1961	\N	actor,producer,soundtrack	tt0477348,tt5027774
nm0000438	Ed Harris	1950	\N	actor,producer,director	tt0268978
nm0000439	Neil Patrick Harris	1973	\N	actor,soundtrack,producer	tt2267998
nm0000450	Philip Seymour Hoffman	1967	2014	actor,producer,soundtrack	tt0978762
nm0000453	Ian Holm	1931	\N	actor,soundtrack,animation_department	tt0382932
nm0000456	Holly Hunter	1958	\N	actress,producer,soundtrack	tt0317705,tt3606756
nm0000460	Jeremy Irons	1948	\N	actor,soundtrack,producer	tt1692928
nm0000469	James Earl Jones	1931	\N	actor,soundtrack	tt0393597
nm0000474	Michael Keaton	1951	\N	actor,producer,soundtrack	tt1895587
nm0000490	Spike Lee	1957	\N	director,producer,writer	tt2220642
nm0000500	Richard Linklater	1960	\N	producer,director,writer	tt0381681
nm0000514	Michael Madsen	1957	\N	actor,producer,writer	tt0266697,tt0378194,tt6019206
nm0000518	John Malkovich	1953	\N	actor,producer,director	tt1659337
nm0000531	Frances McDormand	1957	\N	actress,producer,soundtrack	tt5027774
nm0000532	Malcolm McDowell	1943	\N	actor,producer,soundtrack	tt0278736
nm0000553	Liam Neeson	1952	\N	actor,producer,soundtrack	tt0372784
nm0000559	Leonard Nimoy	1931	2015	actor,director,producer	tt0796366
nm0000560	Nick Nolte	1941	\N	actor,producer	tt1291584
nm0000576	Sean Penn	1960	\N	actor,director,producer	tt0327056,tt0758758
nm0000591	Roman Polanski	1933	\N	actor,director,writer	tt0253474
nm0000609	Ving Rhames	1959	\N	actor,producer,writer	tt4912910
nm0000616	Eric Roberts	1956	\N	actor,producer,soundtrack	tt0419781
nm0000620	Mickey Rourke	1952	\N	actor,writer,music_department	tt0401792
nm0000621	Kurt Russell	1951	\N	actor,producer,writer	tt3445270
nm0000630	Liev Schreiber	1967	\N	actor,producer,miscellaneous	tt1895587
nm0000631	Ridley Scott	1937	\N	producer,director,production_designer	tt0172495,tt3659388
nm0000640	Martin Sheen	1940	\N	actor,producer,soundtrack	tt0264464
nm0000681	Vince Vaughn	1970	\N	producer,actor,writer	tt0758758
nm0000683	Gore Vidal	1925	2012	writer,actor	tt0436971
nm0000686	Christopher Walken	1943	\N	actor,soundtrack,miscellaneous	tt0264464
nm0000694	Wim Wenders	1945	\N	director,producer,writer	tt3674140
nm0000701	Kate Winslet	1975	\N	actress,soundtrack	tt0338013
nm0000702	Reese Witherspoon	1976	\N	actress,producer,soundtrack	tt2267998
nm0000704	Elijah Wood	1981	\N	actor,producer,soundtrack	tt0120737,tt0167260,tt0167261
nm0000719	F. Murray Abraham	1939	\N	actor,soundtrack	tt2278388
nm0000741	Tim Allen	1953	\N	actor,producer,miscellaneous	tt0435761
nm0000744	Maria Conchita Alonso	1957	\N	actress,soundtrack,producer	tt5870084
nm0000759	Paul Thomas Anderson	1970	\N	director,writer,producer	tt0469494
nm0000799	Edward Asner	1929	\N	actor,soundtrack,producer	tt1049413
nm0000800	Armand Assante	1949	\N	actor,producer,soundtrack	tt1801071
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0375611,tt5571734
nm0000837	Bob Balaban	1945	\N	actor,director,producer	tt5104604
nm0000849	Javier Bardem	1969	\N	actor,producer,soundtrack	tt0369702,tt0477348
nm0000867	Jason Bateman	1969	\N	actor,producer,director	tt2948356
nm0000885	Ned Beatty	1937	\N	actor,soundtrack	tt0435761
nm0000892	Jason Beghe	1960	\N	actor,producer	tt4257858
nm0000953	Peter Bogdanovich	1939	\N	actor,director,writer	tt0965382
nm0000965	Danny Boyle	1956	\N	director,producer,writer	tt1010048,tt1795369
nm0000973	Benjamin Bratt	1963	\N	actor,producer,soundtrack	tt2380307
nm0000982	Josh Brolin	1968	\N	actor,producer,director	tt0477348
nm0000983	Albert Brooks	1947	\N	actor,writer,director	tt0266543
nm0000988	Jerry Bruckheimer	1943	\N	producer,music_department,camera_department	tt0325980
nm0000995	Ellen Burstyn	1932	\N	actress,producer,soundtrack	tt0180093
nm0001001	James Caan	1940	\N	actor,soundtrack,director	tt2576852
nm0001002	Dean Cain	1966	\N	actor,producer,writer	tt3722234
nm0001016	David Carradine	1936	2009	actor,producer,soundtrack	tt0266697,tt0378194,tt6019206
nm0001029	Jim Caviezel	1968	\N	actor	tt1277737
nm0001053	Ethan Coen	1957	\N	producer,writer,director	tt0477348
nm0001054	Joel Coen	1954	\N	producer,writer,director	tt0477348
nm0001057	Toni Collette	1972	\N	actress,producer,soundtrack	tt0978762
nm0001060	Chris Columbus	1958	\N	producer,writer,director	tt1454029
nm0001081	Cameron Crowe	1957	\N	writer,producer,director	tt1417592
nm0001082	Billy Crudup	1968	\N	actor,soundtrack	tt0319061
nm0001122	Ellen DeGeneres	1958	\N	producer,writer,actress	tt0266543
nm0001125	Benicio Del Toro	1967	\N	actor,producer,director	tt0208092
nm0001132	Judi Dench	1934	\N	actress,music_department,soundtrack	tt0381061
nm0001152	Illeana Douglas	1965	\N	actress,producer,writer	tt0473453
nm0001162	Griffin Dunne	1955	\N	actor,director,producer	tt0473453
nm0001173	Aaron Eckhart	1968	\N	actor,producer	tt0468569
nm0001199	Dennis Farina	1944	2013	actor,producer,soundtrack	tt0208092
nm0001215	Albert Finney	1936	\N	actor,producer,soundtrack	tt0319061
nm0001217	Fionnula Flanagan	1941	\N	actress,producer	tt1865505
nm0001291	Rupert Graves	1963	\N	actor,writer,director	tt0434409
nm0001315	Marcia Gay Harden	1959	\N	actress	tt0758758
nm0001354	Ciarán Hinds	1953	\N	actor,soundtrack	tt0469494,tt4476736
nm0001392	Peter Jackson	1961	\N	producer,director,writer	tt0120737,tt0167260,tt0167261
nm0001394	Derek Jacobi	1938	\N	actor,producer	tt1504320
nm0001411	William Katt	1951	\N	actor,director,writer	tt5066616
nm0001416	Catherine Keener	1959	\N	actress,producer,casting_department	tt0758758
nm0001426	Ben Kingsley	1943	\N	actor,producer,soundtrack	tt1130884
nm0001448	Jessica Lange	1949	\N	actress,producer,soundtrack	tt0319061
nm0001467	Jared Leto	1971	\N	actor,producer,soundtrack	tt0180093,tt0790636,tt2370718
nm0001504	Marilyn Manson	1969	\N	soundtrack,composer,actor	tt0310793
nm0001508	Penny Marshall	1943	\N	actress,director,producer	tt0352248
nm0001515	Joseph Mazzello	1983	\N	actor,director,writer	tt1727824
nm0001521	Mary McDonnell	1952	\N	actress,soundtrack	tt0246578
nm0001538	Jonny Lee Miller	1972	\N	actor,soundtrack,director	tt1795369
nm0001554	Errol Morris	1948	\N	director,producer,writer	tt0317910
nm0001556	David Morse	1953	\N	actor,director,producer	tt0168629
nm0001557	Viggo Mortensen	1958	\N	actor,soundtrack,producer	tt0167260,tt0167261
nm0001567	Connie Nielsen	1965	\N	actress	tt0172495
nm0001570	Edward Norton	1969	\N	actor,producer,writer	tt5104604
nm0001592	Joe Pantoliano	1951	\N	actor,producer,writer	tt0209144
nm0001602	Guy Pearce	1967	\N	actor,soundtrack,director	tt0209144
nm0001618	Joaquin Phoenix	1974	\N	actor,producer,soundtrack	tt0172495,tt0358456,tt0395169,tt1798709
nm0001626	Christopher Plummer	1929	\N	actor,soundtrack,producer	tt0268978,tt1049413
nm0001628	Sydney Pollack	1934	2008	director,producer,actor	tt0379730
nm0001652	John Ratzenberger	1947	\N	actor,director,soundtrack	tt1049413
nm0001653	Stephen Rea	1946	\N	actor,writer	tt0434409
nm0001657	Oliver Reed	1938	1999	actor,soundtrack	tt0172495
nm0001663	Paul Reiser	1957	\N	actor,writer,producer	tt2582802
nm0001675	Robert Rodriguez	1968	\N	producer,writer,director	tt0401792
nm0001687	Gena Rowlands	1930	\N	actress,writer,soundtrack	tt0808417
nm0001691	Geoffrey Rush	1951	\N	actor,soundtrack,producer	tt0325980,tt1504320
nm0001714	Campbell Scott	1961	\N	actor,producer,director	tt0912593
nm0001741	Bryan Singer	1965	\N	producer,director,writer	tt1727824,tt1877832
nm0001770	Fisher Stevens	1963	\N	actor,producer,director	tt1313104,tt1618448,tt2004304,tt5929776
nm0001772	Patrick Stewart	1940	\N	actor,producer,director	tt0393597,tt1877832,tt3315342
nm0001780	Peter Stormare	1953	\N	actor,producer,soundtrack	tt0168629
nm0001838	Rachel Weisz	1970	\N	actress,producer,soundtrack	tt5083738
nm0001872	Steve Zahn	1967	\N	actor,soundtrack	tt0790636
nm0001877	Hans Zimmer	1957	\N	music_department,composer,soundtrack	tt5732482
nm0001880	Edward Zwick	1952	\N	producer,writer,director	tt0450259
nm0001885	Lars von Trier	1956	\N	writer,director,producer	tt0168629,tt0276919
nm0001951	Björk	1965	\N	soundtrack,composer,actress	tt0168629
nm0001993	Vincent Cassel	1966	\N	actor,producer,soundtrack	tt0947798
nm0002002	Shin'ichi Chiba	1939	\N	actor,stunts,miscellaneous	tt6019206
nm0002032	Roger Daltrey	1944	\N	actor,soundtrack,producer	tt0462441
nm0002091	Michael Gambon	1940	\N	actor,soundtrack,music_department	tt1201607
nm0002120	Lasse Hallström	1946	\N	director,writer,editor	tt1028532
nm0002224	James Moll	\N	\N	producer,director,editor	tt1853563
nm0002536	Emmy Rossum	1986	\N	actress,soundtrack,director	tt0327056
nm0002728	Juan José Campanella	1959	\N	writer,actor,director	tt1305806
nm0003160	Christopher McQuarrie	1968	\N	writer,producer,director	tt4912910
nm0003506	James Mangold	1963	\N	producer,director,writer	tt3315342
nm0003697	Florian Henckel von Donnersmarck	1973	\N	director,writer,producer	tt0405094
nm0003939	Vikramaditya Motwane	1976	\N	producer,writer,director	tt1639426,tt2882328
nm0004056	Andrew Stanton	1965	\N	writer,actor,producer	tt0266543,tt0910970
nm0004109	Gulshan Grover	1955	\N	actor,music_department	tt1805263
nm0004266	Anne Hathaway	1982	\N	actress,soundtrack,producer	tt0816692,tt1345836
nm0004306	George Miller	1945	\N	producer,writer,director	tt1392190
nm0004335	Hrithik Roshan	1974	\N	actor,music_department,soundtrack	tt1562872
nm0004418	Kajol	1974	\N	actress,soundtrack	tt1188996
nm0004423	Gerry Robert Byrne	\N	\N	production_manager,actor,producer	tt0338013
nm0004463	Akkineni Nageshwara Rao	1923	2014	actor,producer,miscellaneous	tt2926068
nm0004469	Srinivasa Rao Kota	1944	\N	actor,music_department	tt0843326,tt0929620,tt1601792
nm0004471	Subhalekha Sudhakar	\N	\N	actor,miscellaneous	tt1601792
nm0004486	Bruno Ganz	1941	\N	actor,director,cinematographer	tt0363163
nm0004564	Hema Malini	1948	\N	actress,producer,director	tt0222012
nm0004569	Sanjay Dutt	1959	\N	actor,music_department,soundtrack	tt0456144,tt2338151
nm0004626	Kareena Kapoor	1980	\N	actress,soundtrack,music_department	tt0488414,tt3863552
nm0004695	Jessica Alba	1981	\N	actress,cinematographer,producer	tt0401792
nm0004696	Buzz Aldrin	1930	\N	actor,miscellaneous,writer	tt0925248
nm0004716	Darren Aronofsky	1969	\N	producer,director,writer	tt0180093,tt0947798
nm0004722	Glen Ballard	1953	\N	soundtrack,composer,music_department	tt2220642
nm0004744	Lawrence Bender	1957	\N	producer,camera_department,actor	tt0266697,tt0361748,tt0378194
nm0004778	Adrien Brody	1973	\N	actor,producer,composer	tt0253474,tt2278388
nm0004794	Glen Campbell	1936	2017	soundtrack,actor,music_department	tt2049586
nm0004874	Vin Diesel	1967	\N	producer,actor,director	tt2015381
nm0004879	Snoop Dogg	1971	\N	actor,soundtrack,producer	tt1778338
nm0004890	Fred Durst	1970	\N	soundtrack,actor,director	tt2129928
nm0004937	Jamie Foxx	1967	\N	actor,producer,writer	tt1853728
nm0004939	Joe Frazier	1944	2011	actor,soundtrack	tt1419318
nm0004950	Jennifer Garner	1972	\N	actress,producer,soundtrack	tt0790636
nm0004951	Brad Garrett	1960	\N	actor,producer,music_department	tt0382932
nm0004976	Brian Grazer	1951	\N	producer,actor,writer	tt0268978,tt0352248,tt1979320
nm0005009	Laura Harring	1964	\N	actress	tt0166924
nm0005023	Djimon Hounsou	1964	\N	actor,producer,director	tt0450259
nm0005069	Spike Jonze	1969	\N	producer,director,writer	tt1798709
nm0005077	James Keach	1947	\N	actor,director,producer	tt2049586
nm0005086	Kathleen Kennedy	1953	\N	producer,miscellaneous,executive	tt0401383,tt2488496
nm0005109	Mila Kunis	1983	\N	actress,producer,soundtrack	tt0947798
nm0005132	Heath Ledger	1979	2008	actor,director,soundtrack	tt0468569
nm0005134	Jason Lee	1970	\N	actor,producer,soundtrack	tt0317705
nm0005187	Ziggy Marley	1968	\N	soundtrack,music_department,actor	tt1183919
nm0005188	James Marsden	1973	\N	actor,soundtrack	tt2576852
nm0005196	Paul Mazursky	1930	2014	actor,miscellaneous,writer	tt0278736
nm0005200	Paul McCartney	1942	\N	soundtrack,composer,music_department	tt1113829
nm0005212	Ian McKellen	1939	\N	actor,soundtrack,writer	tt0120737,tt0167260,tt0167261,tt1877832
nm0005219	Mike Medavoy	1941	\N	producer,actor,executive	tt0947798,tt1130884
nm0005251	Carrie-Anne Moss	1967	\N	actress,producer	tt0133093,tt0209144
nm0005266	Craig T. Nelson	1944	\N	actor,producer,director	tt0317705,tt3606756
nm0005272	Thomas Ian Nicholas	1980	\N	actor,producer,soundtrack	tt3576728
nm0005351	Ryan Reynolds	1976	\N	actor,producer,soundtrack	tt1431045
nm0005363	Guy Ritchie	1968	\N	director,producer,writer	tt0208092
nm0005377	Sam Rockwell	1968	\N	actor,producer,soundtrack	tt5027774
nm0005391	Rick Rubin	1963	\N	soundtrack,producer,music_department	tt0368711
nm0005428	Joel Silver	1952	\N	producer,actor,miscellaneous	tt0133093
nm0005458	Jason Statham	1967	\N	actor,producer,stunts	tt0208092
nm0005460	Mary Steenburgen	1953	\N	actress,producer,soundtrack	tt2576852
nm0005466	Julia Stiles	1981	\N	actress,director,writer	tt0440963
nm0005476	Hilary Swank	1974	\N	actress,producer,soundtrack	tt0405159
nm0005494	Steve Tisch	1949	\N	producer,actor,miscellaneous	tt0454921
nm0005508	Janine Turner	1962	\N	actress,producer,soundtrack	tt3722234
nm0005513	Alanna Ubach	1975	\N	actress,soundtrack,producer	tt2380307
nm0005541	Marlon Wayans	1972	\N	actor,writer,producer	tt0180093
nm0005562	Owen Wilson	1968	\N	actor,producer,writer	tt2543472
nm0005573	Richard D. Zanuck	1934	2012	producer,production_manager	tt0319061
nm0006190	Brian May	1947	\N	soundtrack,music_department,composer	tt1727824
nm0006763	Jackie Shroff	1957	\N	actor,producer,soundtrack	tt1496729
nm0006765	Vidhu Vinod Chopra	\N	\N	writer,producer,director	tt2338151,tt6452574
nm0006795	Salman Khan	1965	\N	actor,producer,soundtrack	tt3863552
nm0007012	Twinkle Khanna	1974	\N	actress,producer	tt7218518
nm0007081	Jon Shapiro	\N	\N	producer,miscellaneous,executive	tt0892375
nm0007102	Tabu	1970	\N	actress,music_department	tt0242519,tt0379370,tt3390572,tt4430212,tt8108198
nm0007107	Urmila Matondkar	1974	\N	actress	tt0347779
nm0007113	Nana Patekar	1951	\N	actor,music_department,director	tt2085783,tt5311546
nm0007123	Mammootty	1951	\N	actor,producer,music_department	tt0425162,tt1695800,tt4928620,tt7345930
nm0007131	Subhash Ghai	1945	\N	writer,producer,actor	tt0453729
nm0007181	Yash Chopra	1932	2012	producer,director,miscellaneous	tt0871510
nm0007404	Aamani	1973	\N	actress	tt1601792
nm0007806	Abbas	\N	\N	actor,camera_department,miscellaneous	tt0929620
nm0007847	Sal Abbatiello	1952	\N	actor	tt4130418
nm0007989	Jennifer Abbott	\N	\N	editor,director,producer	tt0379225
nm0008346	Hiroshi Abe	1964	\N	actor	tt1087578
nm0008556	Rey 'PJ' Abellana	\N	\N	actor	tt5046534
nm0009190	J.J. Abrams	1966	\N	producer,writer,music_department	tt0796366,tt2488496,tt4912910
nm0009788	Mark Achbar	\N	\N	producer,director,cinematographer	tt0379225
nm0010736	Amy Adams	1974	\N	actress,soundtrack,producer	tt1798709
nm0013037	Shohreh Aghdashloo	1952	\N	actress,producer,soundtrack	tt1277737
nm0013133	Harold Agnew	1921	2013	miscellaneous	tt0911010
nm0013869	Charlie Ahearn	\N	\N	director,writer,producer	tt4130418
nm0013968	Julie Ahlberg	\N	\N	producer,miscellaneous,production_manager	tt0317910
nm0014152	Humayun Ahmed	1948	2012	writer,director,music_department	tt0480732
nm0015130	Demet Akbag	1960	\N	actress	tt0270053,tt2758880
nm0015295	Zoya Akhtar	1972	\N	writer,director,casting_department	tt1562872
nm0015359	Fatih Akin	1973	\N	director,actor,producer	tt0347048
nm0015382	Adewale Akinnuoye-Agbaje	1967	\N	actor,writer,director	tt3576728
nm0015459	Nagarjuna Akkineni	1959	\N	actor,producer,music_department	tt2926068,tt5039054
nm0015528	Necati Akpinar	\N	\N	producer	tt0270053,tt0384116,tt7642818
nm0016089	Zeki Alasya	1943	2015	actor,director,writer	tt0425333
nm0016603	Trevor Albert	\N	\N	producer,miscellaneous	tt2049586
nm0017634	Gethin Aldous	\N	\N	director,sound_department,cinematographer	tt5836866
nm0019382	Ali	\N	\N	actor	tt0925130
nm0019434	Karolyn Ali	1944	2015	producer	tt0343121
nm0019503	Tariq Ali	1943	\N	producer,writer,actor	tt0759952
nm0020502	Eric Allen Bell	1973	\N	writer,producer,director	tt0473453
nm0021948	Agustín Almodóvar	\N	\N	producer,actor,assistant_director	tt1789810,tt3011894
nm0022412	Jon Alpert	\N	\N	producer,director,cinematographer	tt7320560
nm0023112	Tony Alva	1957	\N	actor,miscellaneous,stunts	tt2129928
nm0023832	Mathieu Amalric	1965	\N	actor,director,writer	tt0401383,tt2278388
nm0023927	Christiane Amanpour	1958	\N	actress,miscellaneous	tt0309061
nm0024610	Jeff Ament	1963	\N	soundtrack,actor,music_department	tt1417592
nm0024622	Alejandro Amenábar	1972	\N	writer,director,composer	tt0369702
nm0024912	Shimit Amin	\N	\N	editorial_department,sound_department,editor	tt0871510
nm0024950	Guy Amir	1977	\N	writer,actor,producer	tt7252000
nm0025557	Doru Ana	1954	\N	actor,producer	tt0456149
nm0025654	Ananth	\N	\N	actor	tt0925130
nm0026263	Thom Andersen	1943	\N	director,writer,producer	tt0379357
nm0026565	Darla K. Anderson	\N	\N	producer,visual_effects,miscellaneous	tt0435761,tt2380307
nm0027215	Miles Anderson	1947	\N	actor	tt2199711
nm0027572	Wes Anderson	1969	\N	writer,director,producer	tt2278388,tt5104604
nm0027683	Harriet Andersson	1932	\N	actress,soundtrack	tt0276919
nm0028476	Guillemette Andreu	\N	\N	actress	tt2124189
nm0028968	Radivoje Andric	1967	\N	assistant_director,director,actor	tt0383846
nm0029400	Michael Angarano	1987	\N	actor,director,writer	tt0473453
nm0030417	Hideaki Anno	1960	\N	director,art_department,writer	tt0860906
nm0031967	Aparna Sen	1945	\N	actress,director,writer	tt0329393,tt4115752
nm0033242	Allu Aravind	\N	\N	producer,actor,miscellaneous	tt6027478
nm0034820	Gonzalo Arijon	1956	\N	director,writer,producer	tt1157720
nm0035060	Adam Arkin	1956	\N	actor,director,producer	tt0413615
nm0035082	Murat Arkin	1975	\N	actor	tt5813916
nm0035184	Justine Shapiro	1964	\N	actress,writer,miscellaneous	tt0282864
nm0036366	Bonnie Arnold	\N	\N	producer,miscellaneous,production_manager	tt0892769
nm0037867	Yann Arthus-Bertrand	1946	\N	director,writer,producer	tt1014762,tt3327994
nm0038962	Yoshimi Ashikawa	1958	\N	actress	tt0494724
nm0040120	Joshua Astrachan	\N	\N	producer,actor	tt2370248
nm0042882	Elizabeth Avellan	1960	\N	producer,actress,animation_department	tt0401792
nm0044073	Lubna Azabal	\N	\N	actress	tt1255953
nm0044363	Irving Azoff	\N	\N	producer,manager,miscellaneous	tt2370718
nm0045064	Babu Mohan	\N	\N	actor	tt0925130
nm0045075	Jagapathi Babu	\N	\N	actor	tt0473604,tt7392212,tt7765910
nm0046867	Maziar Bahari	\N	\N	director,producer,writer	tt5494396
nm0047962	Chieko Baishô	1941	\N	actress,soundtrack	tt0347149
nm0048075	Manoj Bajpayee	1969	\N	actor,producer,music_department	tt0347779,tt1649431,tt1954470,tt2377938
nm0048081	Izudin Bajrovic	1963	\N	actor	tt2244877
nm0049085	Zeba Bakhtiar	1971	\N	actress,director,producer	tt3395608
nm0049182	Stanislav Boklan	1960	\N	actor	tt3037582
nm0049384	Suresh Balaje	\N	\N	producer	tt4429128
nm0051509	Eric Bana	1968	\N	actor,writer,producer	tt0978762
nm0054711	Howard Barish	\N	\N	assistant_director,producer,actor	tt5895028
nm0055431	Michael Barnathan	\N	\N	producer,production_manager,miscellaneous	tt1454029
nm0055649	John Barnes	\N	\N	composer,music_department,soundtrack	tt2220642
nm0055723	Paul Barnes	\N	\N	editor,editorial_department,producer	tt0413615
nm0057655	David Barron	1954	\N	producer,production_manager,location_management	tt1201607
nm0059431	Jay Baruchel	1982	\N	actor,writer,director	tt0405159,tt0892769
nm0059461	Sunil Barve	\N	\N	actor,music_department	tt5311546
nm0059657	Marc Baschet	\N	\N	producer,cinematographer,actor	tt0283509
nm0060834	Aclan Bates	1966	\N	director,actor,writer	tt2550858
nm0060931	Jeanne Bates	1918	2007	actress	tt0166924
nm0061557	John Battsek	\N	\N	producer	tt4145178
nm0062362	Karl Baumgartner	1949	2014	producer,executive	tt1178197
nm0062614	Harry Baweja	\N	\N	director,writer,assistant_director	tt4168188
nm0063473	Jim Beach	\N	\N	producer,actor,miscellaneous	tt1727824
nm0063765	Alan Bean	1932	2018	miscellaneous,actor,writer	tt0925248
nm0065743	David Beckham	1975	\N	actor,writer	tt3311384
nm0066063	Bobby Bedi	1956	\N	producer,director,writer	tt0379370
nm0069797	Edet Belzberg	\N	\N	producer,director,cinematographer	tt0264476
nm0070594	Malik Bendjelloul	1977	2014	actor,director,writer	tt2125608
nm0070685	Arianne Benedetti	\N	\N	director,actress,writer	tt5870084
nm0070822	Terry Benedict	\N	\N	producer,director,assistant_director	tt2119532
nm0071452	Robert Benmussa	\N	\N	producer,actor,miscellaneous	tt0253474
